用户名,推荐,游戏时长,评论,政治敏感,评论长度,情感得分
Popo,Not Recommended,22.6,"
					非哈迷6/10，哈迷7.5/10抛去对哈利波特的粉丝滤镜，这罐头做的相当一般。且无处不在的政治正确还给它带来了一股怪味。剧情平庸，无用的收集要素泛滥，任务枯燥无味。能值得称道的只有对霍格沃茨地图的打磨和差强人意的魔杖战斗系统。游戏带给我的激动从探索完霍格沃茨的5小时后立刻烟消云散，剩下的只有大量臃肿且毫无新意的内容堆积。整个游戏变得极度臃肿，制作组宁愿把大量资源浪费在毫无意义的收集和无聊的支线，也不愿意做有关寇地奇的玩法。政治正确更是极大程度地破坏了游戏体验，导致游戏的沉浸程度暴跌。在此我不一一举例，这些突兀生硬的政治正确好比吃英式早餐时配的不是番茄豆，而是一大块臭腐乳，而且还不能不吃，唉。总而言之，不是哈迷，别买。粉丝程度不是那么高的，也别买。哈迷，可以买，但只是因为没其他吃的了。",1,352,0.999865650205598
馨德,Recommended,7.2,"
					哈粉必玩项目",0,12,0.8066515307770039
2732702758,Recommended,6.1,"
					太好了",0,9,0.4734776023452153
脑袋困掉了,Recommended,5.1,"
					哈迷可入",0,10,0.9152800586289
弘穆彦一,Recommended,23.3,"
					因为IP而喜欢，当然这个魔法世界做得也还行。。。虽然有很多地方不尽人意，但对于我来说也还是能接受，不过我玩的时间也不算多。。值得推荐",0,72,0.9958232201194168
poached_egg,Not Recommended,14.8,"
					不。。。不好玩",0,13,0.4686411396130431
GODETHAN,Recommended,32.9,"
					太爽了",0,9,0.5882352941176469
Hbogummy,Recommended,10.4,"
					喜欢美丽",0,10,0.9512252005998239
NYBASS666,Recommended,3.1,"
					《关于夜之城最强黑客转生到霍格沃兹这档事》，黑客就是魔法师！！！",0,38,0.7560294659865071
ThreshEternal,Not Recommended,5.8,"
					什么垃圾优化！",0,13,0.1791534351784696
R.,Recommended,266.8,"
					过过剧情还可以 建议不要轻易尝试全成就",0,25,0.960328536708536
易小居,Recommended,9.6,"
					我觉得这个游戏更倾向于解密游戏和和比手速游戏。谁能告诉我怎么把那个钥匙拍进钥匙扣里😭😭才十一级咧，我玩的好慢——来自小黑盒用户居居绑的评价",0,75,0.011372787802554907
Lunyes,Recommended,20.3,"
					很棒 
",0,10,0.864864864864865
li,Recommended,4.0,"
					原价可能这有问题那有问题，但是秋促133块钱，这就是神作",0,34,0.8337860455601692
Nadia,Recommended,3.8,"
					场景不错，但是人物建模太丑了，尤其是女号……主线剧情比较无聊，场景交互自由度不高，作为一个喜欢哈利波特ip的粉丝来说我更想体验那种在霍格沃茨当学生的日常而不是频繁打怪，，，不过最主要的还是剧情，真的太无聊了，，，",0,112,0.9999988965714247
呜呼,Recommended,15.1,"
					好玩",0,8,0.7894736842105263
Allin,Recommended,25.2,"
					仅推荐粉丝。在大世界塞了太多重复的内容，大多数重复的解密并无乐趣可言。阿拉霍洞开 还要自己开锁，而霍格沃茨和霍格莫德则全是锁（？）推荐装去除解锁的mod。（第一次为了简化原作内容去装mod）自诩原著粉丝，看到游戏里很多内容和原著对应是很开心的，所以开始的十几个小时是我觉得最有趣最好玩的时候；后面则显得重复且逐渐无趣。游戏里不能在学生宿舍睡觉又是哪样？我认为的基础的互动都没有，令我震惊",0,199,0.9999815097040039
玉树临风君某人（最高叙事层版）,Not Recommended,1.5,"
					就这么跟你们讲吧，NPC百分之80都是黑鬼，捏脸界面也是按着黑人样貌来的",1,42,0.6216924028764239
marvelousV,Recommended,1.3,"
					为啥我能撰写评测。。？",0,17,0.5722539313341855
旋天锋,Recommended,30.5,"
					献给哈迷最好的礼物，目前最好的哈利波特世界观游戏",0,30,0.9999967226350774
兔子是素的,Recommended,97.0,"
					虽然是罐头游戏但是使我沉迷拍照跑图和跟踪所有有名字的同学 什么时候能把砍掉的互动系统好感度系统什么的整出来就好了",0,62,0.4383404644124258
中野二乃,Recommended,13.6,"
					哈迷无脑入",0,11,0.6570545323977373
KevinDan,Recommended,60.9,"
					好",0,7,0.6558628208940429
Jasmineee,Recommended,58.1,"
					整个游戏剧情很沉浸，操作也顺畅，新手也可以很快适应，简直是哈迷的理想世界。",0,43,0.999643021955674
半岛铁何,Recommended,12.5,"
					好玩，爱玩，喜欢玩",0,15,0.9859341970600044
snake10001,Not Recommended,44.1,"
					一直闪退 没心思玩了",0,16,0.10671277076368857
explorationproject,Recommended,91.0,"
					每一个哈迷的梦想成真。",0,17,0.7125082788668566
爱梅雪顶咖啡,Not Recommended,5.4,"
					为什么啊！！RTX4060卡的动弹不得，说是PPT都过誉了。画面设置全部选最低，退出这个界面都费劲，隔壁最终幻想16都没这样啊。另一台电脑配置低的反而能玩，但会时不时闪退，怎会如此",0,96,0.11017719894060696
3685048953,Recommended,45.4,"
					太好玩了，作为哈迷，这简直是仙品",0,22,0.5267719788465091
18886853629,Recommended,22.0,"
					hp迷买了不亏（打折）其他仁者见仁智者见智 
",0,29,0.7806193057827941
洵丶shift,Recommended,17.9,"
					优秀的粉丝向游戏不优秀的罐头开放世界游戏打mod后城堡拍照非常好看",0,39,0.9999766449568932
半只鸭,Not Recommended,49.3,"
					操作乏味，来来回回都是那样的攻击，面对一群敌人也没有群体伤害，剧情也是乏味，小任务一大堆，简单又重复，像极了在上班",0,63,0.9169149741372193
鸣声划过绰约长夜,Recommended,36.4,"
					好玩的罐头，要是能把各npc的支线剧情内容扩展一些+完善一下结局选项就更好了，希望dlc能补全这个",0,55,0.993760482070926
叶雨轩沙,Recommended,35.4,"
					简单易懂评价（个人观点）5颗星评级画面：♥♥♥♥♥玩法：♥♥♥♥♥剧情：♥♥♥♥♥其他：非常喜爱这个世界观",0,59,0.9485566136514371
cxkdj1433223,Not Recommended,60.2,"
					老是闪退 飞舞东西",0,15,0.0349794713971624
2483575620,Recommended,17.8,"
					很好玩",0,9,0.8743228454986135
snape-38,Not Recommended,15.5,"
					首先光是价格上就不值得，同等价位比他好的游戏有很多。我本人是哈利波特的粉丝，但是这里面无论是战斗上、地图上、画面上、探索都是一般般，那个飞天扫帚比赛真的恶心，我试了4、5遍才过（手残党）。只有咒语这一点比较能看，释放的感觉还行。其他方面都一般般。即使是哈利波特粉丝，再怎么喜欢，这个价都有点亏。 剧情上面我现在还没过完，但是目前看来这部作品和HP他本身系列里的人物几乎没有交集，都是后代角色。 然后就是LGBT和”政治正确“这里面有一个女生用着抠脚大汉的声线说话、一个几十岁大妈说她有老婆……这也是我目前看的最明显的两个，后面不知道还有没有；就是给非常介意这点的人打一个预防针。除非是在大促卖还成，还勉强值这价格。（例如我就是花100多买的豪华版）",1,330,0.9999999999890696
大头爸爸,Not Recommended,23.8,"
					玩久了发现这就一股子育碧味道的罐头  粉丝向 从魔法世界还原的角度来说还不错 但是政治正确横行  角色没几个好看的（草药学老师除外    HP的粉丝买个收藏没事打开看看就差不多了   属于食之无味，弃之可惜 玩又感觉一般般 但是也没有比他更好的哈利波特游戏了",1,135,0.9999999999908726
及时缴纳五险一金,Not Recommended,14.0,"
					地图不大，反而跑图时间较多，内容重复性高",0,26,0.7409664329781682
Santino,Recommended,7.7,"
					推荐推荐",0,10,0.7274339509059762
hachizz2023,Not Recommended,12.7,"
					老子买的游戏咋不见了。还得重新买 
",0,24,0.4363376038419998
半岛铁盒,Recommended,7.8,"
					非常好的游戏，使我魔杖旋转。重温校园生活，拉文克劳在读学生.",0,36,0.9999993000606578
麦小麦,Recommended,12.7,"
					剧情一般，作为魔法世界模拟器还是不错的",0,25,0.9997676843439097
zbc369,Recommended,50.0,"
					可以说成功还原我心目中的哈利波特世界观，剧情上是经典的英雄击败反派，但我就吃这套",0,46,0.9999973762395898
高桥凉介,Recommended,40.2,"
					游戏不错 很经典 影迷必备~",0,20,0.998502384805212
奇,Recommended,80.4,"
					翻了一下评论区感觉有点难绷，照评论区我80个小时都在玩屎，可能设备不一样吧反正评论区遇到的问题我一个都没遇到过（）总体来讲是好玩的，剧情也很丰富（某些时候感觉还蛮有深意的），边打主线边打支线偶尔还去转转地图探探险之类的79个小时也没打完，和原作某些设定有呼应，细节做的也不错，互动性很强自由度很高，很多NPC都有自己的故事，也许他们也会让你感慨万分更加爱这个神奇的世界，哈迷还是强推来玩玩的，各种魔法打多了还可以学一下纯正发音哈哈哈。以及某些评论区说人物长得丑的，把你放游戏里估计喷的人更多，遗产本来就是偏写实的画风人物脸上有瑕疵不是正常的？又不是人人磨皮游戏，雀斑法令纹皱纹每个人脸上都可能有的东西你还看不惯了？倪也不普遍啊假设你因为娜娜是个小黑就忽略她精湛的魔法技术和真诚善良的心那你也差不多可以降龙十八掌了，自以为幽默也确实挺好笑的至少把我逗乐了",0,382,1.0
待到山花烂漫时,Recommended,6.5,"
					粉丝向游戏，不过不推荐给硬核玩家",0,22,0.6796964272003103
秋念,Recommended,5.2,"
					哈迷狂喜",0,10,0.7653018129784582
Singapore Bizon King,Recommended,41.6,"
					非常好的游戏 使梅林的苦茶旋转 优点是作为哈迷体验感非常好 缺点是很多任务非常冗长繁复 希望续篇华纳能继续做个人",0,62,0.9999942339200969
满船清梦压星河,Recommended,6.4,"
					真的好玩，建议史低的时候买",0,19,0.7806320149262367
CLARA,Recommended,12.3,"
					对哈迷来进入魔法世界游玩真的太奇妙了，里边的场景和元素全是熟悉的样子，咒法、魔法课课堂、冥想盆世界、有求必应屋、飞天扫把和魁地奇、霍格莫德村包括奇幻灵动的配乐等等都尽可能让哈迷们满意了，但玩到已经12个小时了，还在反复做解锁技能和手把手教辅助物品的支线任务（且不包括满地跑的收集、跑腿任务和杂七杂八的刷级战斗成就），光走主线任务也并不能提供一个完整的成长体系，所以目前感觉这是一款超慢热的rpg偏养成的游戏，推主线所需要完成的流程或许50+以上，各位哈迷做好这段时间全系列书都能啃完的准备，而且必须最好是每天抽个2h左右做一套日常任务式的单元流程会比较舒适，不然一路推真的会被支离破碎的阻碍感弄得很疲惫。",0,308,0.9999999999999998
信徒,Recommended,55.6,"
					剧情太短，游戏npc黑人太多，但总体还将就",1,27,0.46453886100736974
Gas,Recommended,16.7,"
					好！",0,8,0.6558628208940429
苏格拉底,Not Recommended,9.5,"
					魔法太少，剧情人物动作单一有点僵硬，定价却来到了3A水准 384  不值  虽然我打折115入的，但我觉得他连115都不值。",0,68,0.20777027781821344
Tanhbr,Recommended,2.1,"
					真就找了个学校去上课了呗。足够还原，起码技术力表达出的效果力够了。更多是一种，不够贴合体验？应该做成VR游戏，体验更好。着急的话买一个解解馋还是可以的。",0,82,0.9999966842107095
Devil小艾,Recommended,16.6,"
					哈米必备",0,10,0.574549474228723
1926648754,Recommended,13.2,"
					大ip还原度高，剧情好，就是跑图多",0,23,0.7975559863737935
神行沉默,Recommended,2.8,"
					混个任务而已，不用在意",0,17,0.5869752964025945
e1rwyn.lljane,Recommended,24.1,"
					游戏里的尼哥能不能去死啊🖕狗屎黑鬼滚蛋好吗😡去你妈黑皮鬼😅🖕🏿好吗",0,39,0.7851032777824897
玩家,Recommended,8.7,"
					好玩爱玩",0,10,0.9482519885967862
TIOME,Recommended,14.2,"
					牛",0,7,0.625
加贺君233,Recommended,59.3,"
					做成这样已经非常不错了，城堡非常还原，剧情也还行，就是魁地奇没做出来可惜了",0,43,0.9957315022509945
Arao,Not Recommended,55.7,"
					一边生气一边玩 我本来打算全成就再来评价的但是玩不下去了",0,34,0.5954145371929078
Dorothy,Recommended,30.3,"
					内容很多但深度都开发的不够，不过对于一个受众过于广泛的ip来讲这个设计是合理的，打折价格当作看了场40个小时的3d电影我觉得挺值的",0,71,0.9670217449902772
1915410554,Recommended,11.0,"
					不错",0,8,0.8612132352941176
小颜不胖,Not Recommended,33.7,"
					我就不明白为什么结束的这么仓促，还有很多坑没填，教授就这么唐突的G了，然后就突然告诉我结束了。真是无语了。",0,59,0.02032958111141514
肥皂大法师,Not Recommended,2.6,"
					狗屎",0,8,0.644901724989661
梦回,Not Recommended,12.0,"
					战斗太少了，全是鸡毛蒜皮的任务。不爽。",0,25,0.08772608880369759
钟滋滋,Not Recommended,8.7,"
					卡出翔，动不动就闪退",0,16,0.032329595699874036
Zachary,Not Recommended,29.6,"
					像上班一样的子任务，棒读无聊的对话，耗尽了我的耐心，放弃了",0,35,0.9711428300787217
天才小熊猫,Recommended,26.8,"
					我相信我是史低~~~~",0,17,0.14093110009549603
Duckspeak 鸭话,Not Recommended,26.4,"
					优化依托翔，只推荐真爱粉买单，极度吃运行内存，我调了32g的虚拟内存还是会爆满，然后瞬间闪退，运存不够下至卡顿上至卡顿，而且每次闪退都要从上次自动保存的存档开始玩，心态够好你就来 今天卡出地图外一次 莫名其妙切换观察者视角一次 每次传送我都要担忧一下会不会闪退，而且很烧显卡，对配置有高要求，玩的真心难受维持一审原判",0,164,0.5547443494693542
2465129518,Recommended,6.5,"
					挺好",0,8,0.8284246220999102
芝加哥打字机JorahCoffee,Recommended,37.1,"
					一款有细节的罐头",0,14,0.8401751818784566
2452867092,Recommended,4.0,"
					非常有意思 
",0,13,0.5262327818078083
老王的王姓邻居,Not Recommended,1.6,"
					我靠，玩都玩不了，服了也是，刚刚下载就闪退，还一直解决不了 
",0,37,0.021305283501949157
1195956201,Recommended,7.1,"
					挺好玩的",0,10,0.9047667217235588
cocoachino,Recommended,61.4,"
					这款哈利波特粉丝向的游戏总体来说，还是挺不错的，打折入手才是最佳选择，虽然有点小瑕疵，但总体上来说挺成功，希望续作能更好。可以体验魔法世界，各种神奇的事件，操作起来难度适中，对于手残党应该问题不大。不太好的地方，就是人物不太美观，各种服装装备升级感觉有些鸡肋，塞得东西眼花缭乱，但对于战斗好像帮助不大，体验玩玩还行。 
",0,166,0.9999999999998679
2350545624,Not Recommended,24.5,"
					垃圾",0,8,0.12698412698412687
随机生成,Recommended,5.1,"
					游戏做的很好，符合我对哈利波特魔法世界的幻想，但是Z Z Z Q像便便一样不停的恶心你，C A O",0,55,0.9999964787007156
爱的供养,Not Recommended,12.8,"
					优化太差",0,10,0.10373595889726472
april✿,Recommended,5.1,"
					很好的游戏，女朋友很上瘾",0,18,0.9873780085120851
Hermione,Recommended,15.6,"
					s b华纳，好评是给HP这个IP的",0,23,0.05360117824347432
Cana中国小小boy,Recommended,15.3,"
					游戏本身很好玩，只是自由的感觉很差，期待后续内容，加油哦，提名了。",0,39,0.9989195560738452
287947085,Recommended,12.6,"
					好玩 很上头",0,12,0.8552450822706407
LIUYUN,Recommended,6.2,"
					根本停不下来",0,12,0.2719605977394669
79638412,Recommended,7.3,"
					非常好玩！",0,11,0.7894736842105263
带带胡志明,Not Recommended,0.8,"
					咋那么多尼哥",0,12,0.5
不如攒钱买帕拉梅拉,Recommended,18.4,"
					谁说这游戏不好玩的，我差点被那些刷差评的而放弃这款游戏，我不是哈迷，但里面真的很好，当你打打杀杀玩腻了，在这里我可以放松一下，风景很好，各种魔法，走在魔法学院的走廊还有窃窃私语的盔甲，会动的画，真的很棒，解密也不是很难，真心推荐游玩，如果可以静下心来体验它，它真的是一款好游戏，我很推荐",0,149,0.9999999993075348
QFL,Recommended,26.8,"
					这款游戏之所以让我给出好评，主要是因为它在魔法设计上的独特创意。不过，整个流程显得过于冗长，我实在是没法继续坚持玩下去。真正能带来的乐趣却相对有限。整体来说，更像是一款用来消磨时间的游戏。",0,100,0.9999921289188656
辰喻茵,Not Recommended,13.7,"
					4070过新手黑魔法防御课闪退三次，配置不高的不建议哈。",0,34,0.9563321246214539
gloria,Recommended,167.3,"
					獾獾前来报到",0,12,0.4598536047172602
holy egg,Not Recommended,0.2,"
 为了正确而正确的产物，再好玩再吸引人也没有任何意义，这一坨和隔壁龙腾世纪4列入此生禁品 一个游戏可以难，可以无聊，可以低俗，可以残暴，可以低智商，这些都是在满足不同人的不同兴趣需求，可是它绝对不能变成政治和舆论的牺牲品。从来没有见过哪个游戏是靠玩家自定义角色的声音来塑造角色性别，体型脸型身高生理特色全都模糊掉正常男女性别的正确认知，打一开始就在告诉玩家，我这东西非常正确，那这种东西和du品还有半点区别吗。青少年在自身认知观尚未完全形成的情况下接触充斥政治正确的垃圾，是什么后果真的不去思考吗？哈利波特系列原作者旨在用一个魔幻奇妙的故事来教会孩子坚强自立勇敢探索，结果不仅被电影主演团队背刺，连特么游戏都要借她的名头拉一坨巨臭的，真替罗琳女士感到无奈。评价过那么多游戏，再差评无非也就是对内容的不喜欢，希望它以更好的方式呈现出来，但这次不一样，这个破地方已经没救了，无比愤怒。无脑宣扬本作模糊性别概念是积极有趣的人给我有多远滚多远，你在我眼里跟一坨没有区别。",1,432,1.0
Asher,Recommended,51.4,"
					很喜欢，做的很棒",0,14,0.9724279367418256
1215587859,Recommended,5.6,"
					很好玩",0,9,0.8743228454986135
cccX-,Recommended,35.2,"
					游戏实在过于罐头，最好玩的就是前期在霍格沃茨中体验巫师生活，中后期便开始重复的支线以及收集收集还是收集。盗贼营地、天文台、怪物巢穴、实战指南，抛开主线与支线，用收集要素填充了整个游戏，但收集的奖励并不能吸引我。迷宫就是洞穴、城堡、墓地老几样，岔路的尽头是件破绿色装备，这游戏装备更新那么快，开出一件橙装也没多久就会换掉，而且还没有幻化保存系统，每次都要重新幻化。海岸的地图还以为要靠什么任务开启，结果打几只怪杀过去就能开快送点了，纯粹是开了又一个罐头。打完迷宫还要自己再原路跑出去，也不让开地图传送。游戏里的有求必应屋可你让你装修、养魔法生物，但家具都要慢慢收集。战斗中技能的配合比较有意思，最关键的是可以学不可饶恕咒，玩这游戏第二爽的地方是学阿瓦达索命，第一爽的地方是用阿瓦达索命。如果抛开哈利波特的ip就是非常平庸的罐头游戏，但它是《霍格沃茨之遗》，那它就是现在画面最好、最有代入感的哈利波特游戏。",0,407,1.0
吾名风凪,Not Recommended,36.5,"
					啥优化啊",0,10,0.625
Silim,Recommended,11.5,"
					好玩爱玩",0,10,0.9482519885967862
宇将军,Recommended,25.8,"
					要是哈迷真的无脑入 我就是 太还原了  我觉得非常有意思就是不能坐或睡觉 有的人物会瞬移 有点小bug 但还是少数",0,63,0.5055079756732105
only 1,Recommended,51.1,"
					好玩 
",0,10,0.7894736842105263
刚才他说他,Recommended,12.3,"
					喜欢魔法世界的有福了",0,16,0.9966222194959474
2439375368,Recommended,16.2,"
					好玩 这辈子也是在霍格沃茨上上学了 
",0,25,0.9931686503449106
13816808604,Recommended,12.0,"
					好玩 有意思",0,12,0.9454469159184703
Apocal,Not Recommended,23.1,"
					时不时会闪退，游戏声音有问题and 主线流程很短，20小时可以结束了，支线很无聊",0,46,0.3760773388780291
非人,Recommended,34.7,"
					好玩爱玩 
",0,12,0.9482519885967862
1804123460,Recommended,11.1,"
					好玩",0,8,0.7894736842105263
hdxun,Recommended,29.2,"
					以下碎碎念仅为个人看法：这游戏从画面上比较好地还原了霍格沃兹的感觉，魔法战斗，各种五光十色的咒语乱飞的炫酷感也是独一份的。载具做得也还挺方便。但是这游戏每样都没有做得非常出众：画面上大量的贴图，很多照片不能动，用咒语炸东西毫无反应，就让人觉得很出戏；剧情上一上手就猜得出来主线又是勇者斗恶龙，套路相当之老，没有深度，后期的剧情质量还在下降（特别是打兰洛克那里，我都不明白教授为什么非要下线）。战斗上伤害有点刮痧。副本每次打完都要原路跑出去，地图设计做得不好，而且翻来覆去就那么几种怪，天天进洞里都是打蜘蛛打妖精。收集材料虽然没几样，但也不提示去哪找，只能看运气。我特别不能忍的，一是衣服数量有限制，又没有储物箱存放。外面搜刮几个宝箱全是没用的衣服，两下就满了。衣服还带数值，关键是数值高的衣服许多没那么好看，我不喜欢也得穿，不然怕数值落后。这些个组合技打下来我是真感觉蠢的一批；二是施法时不时就来个掉帧，玩起来受不了，只能退了重进。但这游戏进游戏的速度是我见过的最慢的之一。鉴于这家是第一次做3a，而且这本来就是玩个情怀，因此综合来说这游戏还是姑且可以推荐的。但是做得是真青涩，真没经验。主线打完后发现还有几个支线建议的等级比主线还要高，我就没做了。剩下的罐头收集罐头任务让人头皮发麻，感觉不是很有动力再去体验。本来对塞哥还有点兴趣，现在想想不忍心看到他的结局，还是算了吧。此外一点小吐槽，我是不明白为什么比哈利波特还早的时代能堂而皇之地塞进一个LGBT——不对，应该是没切的，那应该叫男娘——不对，男妈妈？",1,660,1.0
夏日以至念春风,Recommended,10.1,"
					好玩。    风景很好看，还是少见的没有耐力条的游戏，甚至不奔跑都比一些游戏跑起来快，跑起来更是堪比刘翔。地图、副本设计的大而不空，战斗中各种攻击、技能、闪避、防御等的交互感也很棒！本来因为网络上的评价对该游戏期待已经很低了，玩了之后更是处处是惊喜。优化还是不行，某些场景经常掉到60帧以下，但显卡占用只有30/40，不过瑕不掩瑜。",0,172,0.9999999997143703
极虎豹骁圣,Recommended,1.3,"
					画质很优秀，挺有哈利波特电影那种魔法世界氛围感，最主要的是秋促-70%很香啊",0,44,0.99999999957078
勤奋的小胖,Recommended,22.6,"
					玩法很多样，非常精细，细节处理的也很到位",0,26,0.9987022551024294
身伤易逝,Recommended,27.0,"
					不是粉丝，但游玩体验很新奇 
",0,21,0.9383880727487998
JaLan,Recommended,11.8,"
					可",0,7,0.5262327818078083
Sdapao,Recommended,143.1,"
					可以",0,8,0.5262327818078083
决明子,Recommended,10.2,"
					最大的优点在于可以满足你对魔法世界的幻想，如果是哈利波特的忠实粉丝，那这是个不可多得的好游戏，但如果是单纯想体验一个开放大世界，那我觉得最好再考虑其他的更优解",0,85,0.9999999999978688
Shylily,Recommended,83.6,"
					收集肝的要死 但是正对我胃口 
",0,22,0.2432505446612051
babylandey,Recommended,18.9,"
					建筑的还原度很高，用了一个新的主角故事线的方式来展示一个新的魔法故事，很有代入感。魔法的设计中也能很好地呈现战斗中的紧张感，用合适的技能和连招才能击败比较厉害的敌人。解谜的部分也比较有趣。游戏节奏可快可慢，值得探索的部分挺多的。",0,120,0.9999999999999956
大侠饶命,Not Recommended,3.5,"
					同志们，我闻到了D*E*I的味道，顶着个婆娘脸的“女人”竟然开口说话是男人的声音，给我整恶心了，真的",0,56,0.0025945374814128064
萬能膠囊,Not Recommended,62.1,"
					罐头难吃，点开地图全是搜集点，全是不难但是费时的小游戏加起来一两百个是有的，更还有几百个各种地图不标示的搜集品让你听声辩位自己一点一点的舔图。剧情弱智，我记得小说都并非儿童文学，可游戏内对话像小孩看米奇妙妙屋一样难顶，矛盾冲突全靠一个个npc跟低能犟驴一样一意孤行做蠢事，战斗方面最难的难度给人反应的时间又不像是面向儿童的作品，在最难难度下敌人攻击频率快的无聊，游戏设定的防守反击基本放不出来，在做反击的动作都要被其他敌人无线打断，属于是游戏设计了一套战斗交互什么时候施法 什么时候平A 什么时候翻滚 什么时候格挡然后接格挡反击，可在最高难度下一对多就只能翻滚A翻滚A翻滚施法完全没有正反馈。还有可笑的敌人图鉴，大部分怪物都有不同的弱点可以用特定法术在特定时机取得特别效果，问题就出在敌人种类繁多，技能面板却只有4×4个，加上探索解密有求必应屋的建造法术也占法术格，经常出现来了一堆敌人，你还得翻图签才能找到特定法术，找到法术还要去面板那里取舍调整，十分影响战斗时的连贯感。打折去体验体验魔法世界就行了，抛开情怀光谈游戏就是不折不扣的垃圾还卖3a的价",1,481,0.9999999999999971
Redcomet,Recommended,19.7,"
					好评给城堡地图，中后期任务又臭又长，玩得直犯困，不是忠实粉丝别买",0,38,0.8612383621662715
YoungYooQ,Recommended,31.5,"
					能不能删了死黑鬼",0,14,0.21763460264209333
rannnn,Recommended,79.2,"
					适合哈迷 场景还原超级好 但是剧情、任务较为一般",0,30,0.9708085713329766
朤朤,Recommended,6.8,"
					自由度挺高的，圆了霍格沃兹梦",0,20,0.7670050626335657
2点就去睡觉,Recommended,33.7,"
					适合哈迷的罐头游戏。游戏时间线在哈利波特之前，对城堡还原度极佳。主角（你）天资聪颖法力无边，战斗过程简单易上手，无死亡惩罚。你会学习看似很多的咒语，但最后你会发现实战中常用的就那么几个。剧情对我来说刚刚好，某些解密元素的重复出现可能会带来些许倦意。总的来说是一个中规中矩、瑕不掩瑜的罐头游戏------------------------------------如果你喜欢这个IP，又能接受罐头，那我会推荐你购买如果你对这个IP无感，或者厌恶罐头游戏，我建议你三思而后行如果你对此IP无感的同时讨厌罐头，请别购买这个游戏。这将是一段糟糕的旅程 
",0,279,1.0
AYO,Recommended,10.0,"
					好好好",0,9,0.6931978425614437
墨灵,Recommended,38.4,"
					罐头，好吃😋",0,12,0.5211734321514672
a1010214107,Not Recommended,19.3,"
					游戏还是可以一玩的,只要你不在意角色美丑。",0,27,0.9395786735004106
利威尔阿嗲,Recommended,3.7,"
					好玩！",0,9,0.7894736842105263
南区雪媚娘,Recommended,61.3,"
					一v不不不",0,11,0.08088386735098829
清风,Recommended,15.9,"
					好玩",0,8,0.7894736842105263
Ursulazzx,Recommended,14.0,"
					趁着哈利波特内地重映之际开始玩这个游戏，好玩，推荐，呵呵爱死了",0,37,0.9999836249240155
希特乐,Recommended,10.0,"
					好玩  可以",0,12,0.7894736842105263
1542509564,Recommended,6.6,"
					很好玩",0,9,0.8743228454986135
Master qq.Van,Not Recommended,1.7,"
					DEI要素还是过于重了别看卖的这么多   这游戏其实是退步的优化基本是没有到  画面表现力甚至比不上十几年前同一公司出品的蝙蝠侠系列这个时代的孩子很可怜啊  从小就得接受这些思想甚至还觉得理所当然 同情那些主打去割蛋或者成了基的   啧啧 
",1,127,0.9989389999826253
您有一條**未讀,Recommended,107.6,"
					优化太差，战斗莫名其妙的卡顿，掉帧。",0,24,0.04185793923676295
无常,Not Recommended,2.7,"
					游戏优化差掉帧严重，游戏剧情很蠢，主角从反派脸上跑过去，反派都没察觉。游戏性只能说勉强及格，再加上鲜明的ZZZQ要素。只能说是完完全全的粉丝向游戏。",1,80,0.05253834894922582
黄金史莱姆,Recommended,2.5,"
					游戏不错，角色建模不是太喜欢但也说的过去，但是怎么那么多尼哥！zzzq，sm玩意",1,46,0.9337454824551263
空杉新,Recommended,22.8,"
					十分的好",0,10,0.5909515479334265
921214593,Recommended,9.9,"
					只能说哈迷无能入，它满足我对魔法世界的幻想，非常喜欢的游戏，即使很多人说它是罐头",0,46,0.9992981050865339
